carry-on	বহন অন
almanac	পাঁজি
alma mater	মাতৃশিক্ষায়তন
ally	মিত্র
allusion	ইশারা
alluring	মনোমুগ্ধকর
allure	মোহন
allude	উল্লেখ করা
all-star	সব তারকা
all right	সমস্ত অধিকার
alloy	খাদ
allowance	ভাতা
allowable	সম্ভবপর
allow	অনুমতি
all-out	সম্পূর্ণ
allotment	আবণ্টন
allot	বাঁটা
allocation	বণ্টন
allocate	বরাদ্দ
all-inclusive	সমস্ত -সমেত
alligator	নক্র
allied	স্বজাতীয়
alliance	জোট
alley	সরু গলি
alleviation	হ্রাসকরণ
alleviate	উপশম করা
allergy	এলার্জি
allergic	বিরাগসম্পন্ন
allegory	অপ্রস্তুতপ্রশংসা
allegorical	অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত
allegiance	আনুগত্য
allegedly	যেন
alleged	কথিত
allege	সপক্ষে যুক্তি দেখান
allegation	অভিযোগ
all-clear	মুক্তি-সংকেত
allay	কমান
all-around	বহুতরফা
all-American	সমস্ত -আমেরিকান
Allah	আল্লাহ
all	সব
alkaline	ক্ষারীয়
alkali	ক্ষার
alive	জীবিত
alimony	ভরণপোষণ
alike	একইভাবে
alignment	শ্রেণীবিন্যাস
align	শ্রেণীবদ্ধ করা
alight	নামা
alienation	উন্মত্ততা
alienate	স্বভাববহিভুত করা
alien	পরক
alibi	অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি
alias	উপনাম
algorithm	অ্যালগরিদম
algebraic	বীজগাণিতিক
algebra	বীজগণিত
algae	শেত্তলাগুলি
alfalfa	ত্রিপত্রোত্পাদী বৃক্ষবিশেষ
alert	সতর্ক
ale	বীয়ার
alderwoman	alderwoman
alderman	পৌরমুখ্য
alcove	তাক
alcoholism	মদ্যাশক্তি
alcoholic	মদ্যপ
alcohol	এলকোহল
album	অ্যালবাম
albino	ধবলরোগগ্রস্ত প্রাণী
albeit	তথাপি
alas	হায়রে
alarmist	যে ব্যক্তি সামান্য কারণে বিপদ্সঙ্কেত ঘোষণা করে
alarmingly	alarmingly
alarming	ভীতিপ্রদ
alarmed	অধীর
alarm clock	এলার্ম ঘড়ি
alarm	বিপদাশঙ্কা
a la mode	একটি লা মোড
a la carte	একটি খাদ্যতালিকা অনুযায়ী
akin	সদৃশ
ajar	ষদুন্মুক্তভাবে
aisle	করিডোর
airy	বায়বীয়
airwaves	বেতার তরঙ্গ নিয়ন্ত্রণ
air traffic controller	এয়ার ট্রাফিক কন্ট্রোলার
air time	বায়ু সময়
airtight	বায়ুরোধী
airstrip	airstrip
airspace	আকাশসীমা
airs	চালিয়াতি
air raid	বিমানযোগে আক্রমণ
airport	বিমানবন্দর
airplane	বিমান
airmail	বিমানবাহিত ডাক
airliner	বিমান
airline	এয়ারলাইন
airless	বায়ুশূন্য
airing	বায়ুসেবন
airily	উড়া উড়া
air force	বিমানবাহিনী
airfield	বিমানাঙ্গন
airfare	airfare
aircraft carrier	বিমানপোত বহনার্থ জাহাজ
aircraft	বিমান
air conditioning	এয়ার কন্ডিশনার
air conditioner	বায়ু কন্ডিশনার
air-conditioned	বাতানুকূল
airborne	বায়ুবাহিত
air base	বায়ু বেস
air bag	বায়ু ব্যাগ
air	বায়ু
ain't	নয়
aimlessly	অকারণে
aimless	উদ্দেশ্যহীন
aim	উদ্দেশ্য
ailment	আময়
ailing	রোগী
AIDS	এইডস
aide	সহায়তাকারী
aid	সাহায্য
ahead	এগিয়ে
aha	অই
ah	অই
agriculture	কৃষি
agricultural	কৃষিজাত
agreement	চুক্তি
agreed	একমত
agreeably	প্রীতিকরভাবে
agreeable	অমায়িক
agree	একমত
agony	নিদারূণ যন্ত্রণা
agonizingly	মর্মান্তিকভাবে
agonizing	মানসিক যন্ত্রণাদায়ক
agonized	আতুর
ago	পূর্বে
agonize	পীড়ন করা
agnosticism	অজ্ঞাবাদ
agnostic	অজ্ঞানবাদী
agitator	প্রচারক
agitation	চাগাড়
agitated	বিচলিত
aging	পক্বতা
agitate	উমান
agility	দ্রুততা
agile	কর্মতত্পর
aghast	বিস্ময়ে হতবুদ্ধি
aggrieved	তিরস্কৃত
aggressor	পূর্বপক্ষ
aggressiveness	হামলাদারিতা
aggressively	সহিংস
aggressive	আক্রমণমূলক
aggression	হানা
aggravation	অধোগমন
aggravating	বিরক্তিকর
aggravate	বাড়া
ages	বয়সের
agent	প্রতিনিধি
agenda	বিষয়সূচি
agency	এজেন্সি
aged	বুড়া
age	বয়স
against	বিরুদ্ধে
again	আবার
afterwards	পরে
afterward	পরে
afterthought	অনুচিন্তা
aftershock	আফটারশক
aftershave	আফটারশেভ লোশন
afternoon	বৈকাল
aftermath	ভবিষ্যৎ ফল
afterlife	ভবিষ্যৎ জীবন
aftereffect	পরিণাম
after	পরে
African-American	আফ্রিকান - আমেরিকান
African	আফ্রিকান
Africa	আফ্রিকা
afresh	পুনর্বার
afraid	ভীত
afloat	সমুদ্রে
affront	অপমান করা
affordable	সাশ্রয়ী মূল্যের
afford	সামর্থ্য
affluent	সমৃদ্ধিশালী
affluence	সমৃদ্ধি
affliction	পরিতাপ
afflict	হীন করা
affix	জুড়া
affirmatively	affirmatively
affirmative action	সম্মতিসূচক এক্সন
affirmative	হাঁ-সূচক
affirmation	কথন
affirm	যাথাথ্র্য করা
affinity	সম্বন্ধ
affiliation	অন্তর্ভুক্তি
affiliated	সম্বদ্ধ
affiliate	শাখা
affidavit	হলফনামা
affectionately	affectionately
affectionate	অনুরক্ত
affection	মমতা
affected	আক্রান্ত
affectation	ভান
affect	অনুভূতি
affairs	বিষয়
affair	ব্যাপার
affably	অমায়িকভাবে
affable	ভদ্র
afar	দূরবর্তী স্থান
aesthetics	নন্দনতত্ব
aesthetically	aesthetically
aesthetic	নান্দনিক
aerospace	মহাকাশ
aerosol	এরোসল
aerodynamics	বায়ুগতিবিদ্যা
aerodynamic	aerodynamic
aerobics	এরোবিকস
aerobic	বায়ুজীবী
aerial	বায়বীয়
advocate	উকিল
advocacy	প্রচার
advisory	উপদেশক
adviser	উপদেষ্টা
advise	পরামর্শ
advisable	যুক্তিযুক্ত
advice	পরামর্শ
advertising	বিজ্ঞাপন
advertiser	বিজ্ঞাপনদাতার
advertisement	বিজ্ঞাপন
advertise	বিজ্ঞাপিত করা
adversity	বিদ্বেষ
adversely	বিরূপ
adverse	প্রতিকূল
adversary	বিপক্ষ
adverbial	ক্রিয়া-বিশেষণিক
adverb	বিশেষণের বিশেষণ
adventurous	দু: সাহসিক
adventurer	দু: সাহসী
adventure	দু: সাহসিক কাজ
advent	আবির্ভাব
Advent	খ্রীষ্টের আবির্ভাব
advantageous	সুবিধাজনক
advantage	সুবিধা
advancement	অগ্রগতি
advanced	অগ্রসর
advance	আগাম
adultery	ব্যভিচার
adulteration	ভেজাল
adulterate	ব্যভিচারী
adult	প্রাপ্তবয়স্ক
adulation	তোষণ
adroitly	নিপুণভাবে
adroit	নিপুণ
adrift	ভাসিতে ভাসিতে
adrenaline	বৃক্করস
adornment	সজ্জা
adorn	বিভূষিত করা
adore	পূজা করা
adoration	অর্চনা
adorable	আরাধ্য
adoptive	অবলম্বিত
adoption	গ্রহণ
adopted	গৃহীত
adopt	পোষ্যপুত্র গ্রহণ করা
adolescent	কিশোর
adolescence	কৈশোর
adobe	রৌদ্রপক্ব ইষ্টক
admonition	অনুযোগ
admonish	সতর্ক করা
admittedly	স্বীকার করিয়া লইয়া
admittance	প্রবেশাধিকার
admit	মানা
admission	ভর্তি
admissible	গ্রহণীয়
admiringly	আহ্্
admiring	উপাসক
admirer	প্রশংসক
admire	তারিফ করা
admiration	তারিফ
admiral	নৌসেনাপতি
admirably	admirably
admirable	ধন্য
administrator	প্রশাসক
administrative	প্রশাসনিক
administration	প্রশাসন
administer	প্রতিপালন করা
ad-lib	বিজ্ঞাপন- lib
ad lib	যথেচ্ছ
adjustment	সমন্বয়
adjustable	নিয়মিত
